82,1594
85,1597
88,1600
109,1603
112,1606
115,1609
136,1612
139,1615
142,1618
325,1837
328,1840
331,1843
352,1846
355,1849
358,1852
379,1855
382,1858
385,1861
568,2080
571,2083
574,2086
595,2089
598,2092
601,2095
622,2098
625,2101
628,2104
811,3781
814,3784
817,3787
838,3790
841,3793
844,3796
865,3799
868,3802
871,3805
1054,4024
1057,4027
1060,4030
1081,4033
1084,4036
1087,4039
1108,4042
1111,4045
1114,4048
1297,4267
1300,4270
1303,4273
1324,4276
1327,4279
1330,4282
1351,4285
1354,4288
1357,4291
1540,5968
1543,5971
1546,5974
1567,5977
1570,5980
1573,5983
1594,5986
1597,5989
1600,5992
1783,6211
1786,6214
1789,6217
1810,6220
1813,6223
1816,6226
1837,6229
1840,6232
1843,6235
2026,6454
2029,6457
2032,6460
2053,6463
2056,6466
2059,6469
2080,6472
2083,6475
2086,6478
2269,8102
2272,8105
2275,8108
2296,8111
2299,8114
2302,8117
2323,8120
2326,8123
2329,8126
2512,8129
2515,8132
2518,8135
2539,8138
2542,8141
2545,8144
2566,8147
2569,8150
2572,8153
2755,8155
2758,8156
2761,8158
2782,8159
2785,8161
2788,8162
2809,8164
2812,8165
2815,8167
2998,8168
3001,8170
3004,8171
3025,8173
3028,8174
3031,8176
3052,8177
3055,8179
3058,8180
3241,8345
3244,8348
3247,8351
3268,8354
3271,8357
3274,8360
3295,8363
3298,8366
3301,8369
3484,8372
3487,8375
3490,8378
3511,8381
3514,8384
3517,8387
3538,8390
3541,8393
3544,8396
3727,8398
3730,8399
3733,8401
3754,8402
3757,8404
3760,8405
3781,8407
3784,8408
3787,8410
3970,8411
3973,8413
3976,8414
3997,8416
4000,8417
4003,8419
4024,8420
4027,8422
4030,8423
4213,8588
4216,8591
4219,8594
4240,8597
4243,8600
4246,8603
4267,8606
4270,8609
4273,8612
4456,8615
4459,8618
4462,8621
4483,8624
4486,8627
4489,8630
4510,8633
4513,8636
4516,8639
4699,8641
4702,8642
4705,8644
4726,8645
4729,8647
4732,8648
4753,8650
4756,8651
4759,8653
4942,8654
4945,8656
4948,8657
4969,8659
4972,8660
4975,8662
4996,8663
4999,8665
5002,8666
5185,10289
5188,10292
5191,10295
5212,10298
5215,10301
5218,10304
5239,10307
5242,10310
5245,10313
5428,10316
5431,10319
5434,10322
5455,10325
5458,10328
5461,10331
5482,10334
5485,10337
5488,10340
5671,10342
5674,10343
5677,10345
5698,10346
5701,10348
5704,10349
5725,10351
5728,10352
5731,10354
5914,10355
5917,10357
5920,10358
5941,10360
5944,10361
5947,10363
5968,10364
5971,10366
5974,10367
6157,10532
6160,10535
6163,10538
6184,10541
6187,10544
6190,10547
6211,10550
6214,10553
6217,10556
